Block 10 -50 400
Stalactite 1 300 -20
Block 7 200 310
Orc 0 310 214
Block 9 530 190
SpiderWeb 0 500 155
Block 7 850 310
SpiderFloor 1 850 280
SpiderFloor 1 1000 280
Block 10 1150 400
Orc 0 1230 304
Stalactite 1 1000 -20
Block 8 1300 430
Block 8 1400 430
Block 8 1500 430
Stalactite 1 1550 -20
Block 7 1600 310
SpiderFloor 1 1650 270
Block 7 1700 310
Block 11 2000 350
Orc 0 2100 254
Block 11 2150 350
Block 11 2300 350
SpiderWeb 0 2400 300
Block 11 2450 350
Stalactite 1 2500 -20
Block 11 2600 350
Block 7 2800 310
Stalactite 1 2850 -20
Block 7 3050 400
Block 8 3200 430
Orc 0 3300 334
Block 8 3300 430
Block 8 3400 430
Orc 0 3400 334
Block 8 3500 430
Stalactite 1 3550 -20
Block 8 3600 430
Block 8 3700 430
Orc 0 3800 354
Block 11 3900 350
Block 11 4000 300
Block 11 4100 250
Block 11 4200 200
Stalactite 1 4250 -20
Block 11 4300 200
SpiderWeb 0 4400 150
Block 9 4400 200
Stalactite 1 4450 -20
Block 9 4550 200
Block 7 4700 310
Block 7 4800 340
SpiderWeb 0 4900 290
Orc 4800 310 244
Block 7 4900 370
Stalactite 1 4950 -20
Block 7 5000 410
SpiderFloor 1 5100 370
Block 10 5200 380
Block 10 5300 350
SpiderWeb 0 5350 300
Block 10 5400 320
SpiderWeb 0 5450 270
Block 10 5500 290
Stalactite 1 5550 -20
Block 7 5830 430
Stalactite 1 5880 -20
Block 7 5930 430
Block 7 6030 430
SpiderFloor 1 6100 390
Block 7 6130 430
Orc 0 6200 334
Block 7 6230 430
Block 7 6330 430
SpiderWeb 0 6700 380
Block 7 6430 430
SpiderFloor 1 6500 400
Block 7 6530 430
Stalactite 1 6580 -20
Block 7 6630 430
Orc 0 6700 334
Block 7 6730 430
Stalactite 1 6780 -20
Block 7 6830 430
SpiderWeb 0 6900 355
Block 7 6930 430
Block 7 7200 430
Block 7 7500 430
Block 7 7800 430
Block 7 8100 430
Block 7 8400 430
Block 7 8700 430



