Block 4 300 390
SpiderWeb 0 300 355
Orc 0 440 294
Orc 0 560 294
Orc 0 680 294
SpiderFloor 1 1100 420
Block 6 2100 310
Block 5 1700 390
Block 2 2750 200
Block 2 3000 180
Block 2 3250 200
Block 2 3500 220
Block 3 3680 390
Block 6 4000 -150
SpiderAir 1 4100 170
SpiderAir 1 4200 170
SpiderAir 1 4300 170
Block 6 4000 310
Block 6 4750 -150
SpiderAir 1 4950 170
SpiderAir 1 5050 170
SpiderAir 1 5150 170
Block 6 4750 310
Block 6 5250 -150
SpiderAir 1 5450 170
SpiderAir 1 5550 170
SpiderAir 1 5650 170
Block 6 5250 310
